Analysis time:2015-06-25 00:13:01	2015_06_24_report:
房间:rtmp://ckrtmp.cdn.zhanqi.tv:1935/zqlive/43691_N9MD8	房间人数:387	房间延迟人数:39	百分比:10
区域:tianjin	运营商:changchengku	区域人数:6	区域延迟人数:0	百分比:0
区域:guangdong	运营商:qita	区域人数:14	区域延迟人数:2	百分比:14
区域:beijing	运营商:changchengku	区域人数:24	区域延迟人数:4	百分比:16
区域:chongqing	运营商:changchengku	区域人数:78	区域延迟人数:5	百分比:6
区域:qita	运营商:qita	区域人数:105	区域延迟人数:18	百分比:17
区域:hubei	运营商:changchengku	区域人数:70	区域延迟人数:4	百分比:5
区域:guangdong	运营商:changchengku	区域人数:86	区域延迟人数:5	百分比:5
区域:sichuan	运营商:changchengku	区域人数:1	区域延迟人数:0	百分比:0
区域:guangdong	运营商:dianxin	区域人数:3	区域延迟人数:1	百分比:33

房间:rtmp://ckrtmp.cdn.zhanqi.tv/zqlive/2067_pK3ye	房间人数:6245	房间延迟人数:754	百分比:12
区域:beijing	运营商:dianxin	区域人数:166	区域延迟人数:36	百分比:21
区域:guizhou	运营商:changchengku	区域人数:17	区域延迟人数:2	百分比:11
区域:hainan	运营商:changchengku	区域人数:1	区域延迟人数:0	百分比:0
区域:liaoning	运营商:changchengku	区域人数:229	区域延迟人数:34	百分比:14
区域:beijing	运营商:yidong	区域人数:5	区域延迟人数:1	百分比:20
区域:zhejiang	运营商:changchengku	区域人数:6	区域延迟人数:0	百分比:0
区域:guangdong	运营商:changchengku	区域人数:1188	区域延迟人数:113	百分比:9
区域:qita	运营商:qita	区域人数:469	区域延迟人数:44	百分比:9
区域:shanxi	运营商:changchengku	区域人数:47	区域延迟人数:5	百分比:10
区域:tianjin	运营商:changchengku	区域人数:115	区域延迟人数:14	百分比:12
区域:fujian	运营商:changchengku	区域人数:126	区域延迟人数:18	百分比:14
区域:shandong	运营商:dianxin	区域人数:1	区域延迟人数:0	百分比:0
区域:beijing	运营商:changchengku	区域人数:222	区域延迟人数:26	百分比:11
区域:chongqing	运营商:changchengku	区域人数:115	区域延迟人数:8	百分比:6
区域:hubei	运营商:changchengku	区域人数:719	区域延迟人数:75	百分比:10
区域:beijing	运营商:dianxintong	区域人数:1055	区域延迟人数:182	百分比:17
区域:sichuan	运营商:changchengku	区域人数:153	区域延迟人数:20	百分比:13
区域:hebei	运营商:tietong	区域人数:1	区域延迟人数:0	百分比:0
区域:heilongjiang	运营商:changchengku	区域人数:97	区域延迟人数:17	百分比:17
区域:anhui	运营商:changchengku	区域人数:102	区域延迟人数:8	百分比:7
区域:jiangxi	运营商:changchengku	区域人数:100	区域延迟人数:10	百分比:10
区域:beijing	运营商:qita	区域人数:29	区域延迟人数:4	百分比:13
区域:hunan	运营商:changchengku	区域人数:140	区域延迟人数:14	百分比:10
区域:hebei	运营商:changchengku	区域人数:37	区域延迟人数:3	百分比:8
区域:yunnan	运营商:changchengku	区域人数:19	区域延迟人数:2	百分比:10
区域:beijing	运营商:jiaoyuwang	区域人数:55	区域延迟人数:5	百分比:9
区域:guangdong	运营商:dianxin	区域人数:188	区域延迟人数:26	百分比:13
区域:guangdong	运营商:qita	区域人数:52	区域延迟人数:4	百分比:7
区域:jiangsu	运营商:changchengku	区域人数:86	区域延迟人数:10	百分比:11
区域:shanghai	运营商:changchengku	区域人数:520	区域延迟人数:50	百分比:9
区域:henan	运营商:changchengku	区域人数:62	区域延迟人数:13	百分比:20
区域:shandong	运营商:changchengku	区域人数:117	区域延迟人数:10	百分比:8
区域:beijing	运营商:liantong	区域人数:6	区域延迟人数:0	百分比:0

